Rating,Name,Rating Agency Name,Date,Sector,currentRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,grossProfitMargin,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
BBB,Company 261,Rating agency 3,3/29/2011,Energy,-0.426029551,0.67198743,0.307658924,2.593473942,1.529169093,0.378893308,0.535029817,-0.786868448,-1.155368821,-0.043837184,-1.421977237,0.164010855,-0.684346446,-0.245560538,-0.015708494,0.518761785,0.878949372,-1.777398613
A,Company 247,Rating agency 3,3/30/2011,Consumer Non-Durables,-0.588473384,0.28820139,0.238757623,0.218880873,0.090293272,0.640994103,0.779017342,0.338800455,0.022134737,0.099649491,0.309452124,0.064419981,0.227269665,-0.003995801,0.115039583,-0.040794754,-0.169659842,-0.515648588
BBB,Company 100,Rating agency 3,04/04/2011,Public Utilities,-1.476699799,-0.600305333,0.506603615,0.291726621,-0.347249724,0.358242602,0.427218481,-0.244046818,-0.696441753,0.127929164,0.410663271,0.062335933,-0.095078268,-0.06566446,-0.055661,-0.002142115,0.111124242,-0.410607269
BBB,Company 337,Rating agency 3,04/07/2011,Consumer Services,-0.938527497,0.300291007,0.170577015,0.318986882,0.860585817,0.430036292,0.090964579,-0.230789401,0.925513514,0.031415649,-0.221603077,0.134569219,0.419812454,6.01641311,-0.212357575,5.812122424,0.086321977,-0.164678443
B,Company 381,Rating agency 3,04/08/2011,Capital Goods,0.630360972,0.416562057,0.481237898,-0.350506125,-1.177307581,-0.448694394,-0.022201642,1.299071268,0.800648288,-8.753538437,1.581934765,-0.488454578,0.021330471,-0.129644698,0.318760743,-0.677578025,-0.536032572,0.539844298
B,Company 94,Rating agency 3,04/08/2011,Energy,-1.310268456,-1.771757766,0.700492839,0.708892657,1.524932602,0.079428381,-0.253823934,-0.974825936,-1.523784604,0.026409045,-0.25583938,0.192805488,-0.910283209,-0.273196194,-0.020252085,0.218738379,0.870354083,-1.777398613
BBB,Company 91,Rating agency 3,04/11/2011,Energy,-0.211375297,-3.525667866,3.050910185,5.191175032,1.518990654,-0.203067126,-0.735597096,-5.207600338,-3.439338404,0.014854877,-0.358668836,0.172852269,-1.213108253,-0.285018219,-0.005745667,-0.027801872,8.266179045,-1.777398613
A,Company 92,Rating agency 3,4/27/2011,Consumer Services,0.09974867,-1.161544528,-2.446369468,-0.199866516,-0.566328647,0.310783232,0.121341003,0.929372994,-0.084535872,0.072030881,0.127842575,0.174360114,0.324254426,0.082201138,0.019896479,0.197022015,-0.339092893,0.323656857
BB,Company 190,Rating agency 3,4/27/2011,Consumer Non-Durables,0.048935795,-1.07912891,-0.14641645,-0.123314652,-1.390263102,0.914031625,0.297664587,1.126390547,0.696601204,-0.001762189,-0.577808604,0.06326383,1.013698133,-1.889342359,-0.134189841,-2.463162021,-0.822685368,0.839519227
BBB,Company 10,Rating agency 3,4/27/2011,Public Utilities,-1.288481766,0.022047044,0.031195145,-0.095675208,-0.850899869,-0.074549598,-0.536362675,-0.333960856,-1.048580381,0.119618999,0.361510668,0.160319599,0.021366485,0.001760915,-0.04409803,0.224554063,-0.003573356,0.526209164
BBB,Company 36,Rating agency 3,4/28/2011,Transportation,-0.573519202,0.520459024,0.131030004,0.445821841,1.504338107,-0.132890895,0.219953725,-0.539840956,-1.238467413,0.103844925,0.31752273,0.377954017,0.036644622,0.013605573,-0.114734954,0.242134894,0.285007774,-1.777398613
BBB,Company 109,Rating agency 3,4/28/2011,Public Utilities,-0.038217439,0.307958794,0.208438773,0.381446127,1.520492233,0.076694463,0.281840982,-0.603192439,-1.025976625,0.158533263,0.500005837,0.200209083,-0.043844477,-0.0193823,-0.08468476,0.201909604,0.22301051,-1.777398613
B,Company 376,Rating agency 3,05/06/2011,Technology,-0.502109979,0.654651539,0.377220702,-0.632319422,0.535777552,-0.369876687,-0.022201642,-0.240140136,0.623260964,-0.00774084,-0.701403139,0.220399427,0.617964215,-0.06397517,0.087375934,-0.473919808,-0.22663506,-0.205034164
BBB,Company 217,Rating agency 3,5/16/2011,Energy,-0.711928041,-2.483644448,0.224444237,-0.303934788,-1.436703058,-0.20608627,-0.24224629,1.204094551,0.174048846,0.095751466,0.244282219,-0.133549845,-1.45165995,-0.204193042,0.064838988,-0.471067995,-0.600634319,0.584043857
CCC,Company 278,Rating agency 3,5/24/2011,Capital Goods,3.16954016,1.970232554,1.821693204,-1.050097156,-1.166041962,-0.737013313,-0.022201642,-3.863283135,-0.504252611,0.241255174,0.758465472,0.510075698,0.61097675,-0.088161759,1.214512857,-0.570552725,3.346231029,-1.333870953
BB,Company 121,Rating agency 3,5/26/2011,Health Care,0.308079987,0.676737609,1.008018059,0.464945482,0.589486764,0.493449666,0.025364124,-0.375707937,0.653886558,0.006208953,-0.579597498,0.157166899,0.571669946,0.01565625,0.032791628,-0.189666318,0.181217889,-0.619280537
A,Company 272,Rating agency 3,5/31/2011,Capital Goods,0.625968915,1.144528375,-2.446369468,-0.161170048,-0.932349123,-0.215311643,-0.57540312,0.157624766,0.4756814,0.047360907,-0.032949789,0.128358411,0.51340454,0.016598969,0.185871751,-0.154620268,-0.149874992,1.719044882
A,Company 105,Rating agency 3,5/31/2011,Capital Goods,0.07046785,0.027096232,0.513315975,-0.102815976,-0.907179865,0.154422321,-0.151931955,0.523630454,0.445451629,0.011714139,-0.44400419,0.094779911,0.509727815,0.131632984,0.066991941,0.16785237,-0.235880029,0.562372612
B,Company 201,Rating agency 3,06/01/2011,Energy,-1.442577244,-0.560332052,-2.446369468,0.577257779,1.486941655,0.250004236,0.713905804,-0.251483201,-2.027660102,0.20753909,1.565617048,-0.052123157,0.233999088,0.019141235,-0.108341624,0.051807583,1.102906606,-1.777398613
BB,Company 47,Rating agency 3,06/01/2011,Basic Industries,-0.169132781,0.452830794,0.484773956,-0.091251833,-0.701774415,0.068731017,-0.336515694,0.300887191,0.313691278,0.008702814,-0.460061511,0.088323002,0.439759085,-0.036978398,-0.018953361,-0.305249567,-0.282413778,0.981880755
BBB,Company 467,Rating agency 3,06/09/2011,Technology,-0.010225563,0.692113692,0.582929641,-0.168368663,-0.621665373,0.216507521,-0.130734223,0.598674144,1.308574781,0.040442696,-0.240716177,0.034163684,0.510008582,-0.077556169,0.157276796,-0.500612578,-0.155493907,0.033933184
BBB,Company 81,Rating agency 3,6/21/2011,Public Utilities,-0.577478619,0.247933523,-0.030137343,0.163303429,1.484573333,-0.395055172,-0.32279198,-0.907087509,-1.297446807,0.171356619,0.58513937,0.100204392,-0.84222736,-0.292268452,-0.060112533,0.39690131,0.218794632,-1.142777575
BBB,Company 122,Rating agency 3,6/21/2011,Energy,0.390765172,0.165496085,0.443836035,0.033289174,-0.824846641,-0.370124939,0.475284613,0.765270966,0.507655395,0.005784442,-0.467465948,1.353768576,0.256585102,-0.006089416,0.086708162,-0.057067269,-0.384742048,0.394852319
BB,Company 167,Rating agency 3,6/24/2011,Public Utilities,-0.79079049,0.152205943,0.099763779,-1.00497899,1.51882573,-0.987950403,-0.022201642,-0.520776302,-1.199516536,0.119143088,0.405060911,-0.102943113,-0.523096506,-0.152239943,0.172401858,-0.127399844,0.206965984,-1.777398613
BB,Company 227,Rating agency 3,6/28/2011,Capital Goods,1.39090227,1.409364517,0.317517104,0.343415902,-0.646291374,0.709062476,0.547808035,0.417392994,0.010690362,-0.01582646,-0.816390349,-0.035121541,0.347779053,6.01641311,-0.275023627,5.906217756,-0.003939604,0.79528519
A,Company 232,Rating agency 3,6/30/2011,Technology,-0.463638131,0.036481639,0.239642989,0.450154314,-0.143038376,1.569944594,1.644374648,0.359609345,0.57485658,0.254643942,0.784856405,0.080128144,0.409053326,0.317502747,0.039225107,0.678638227,-0.021946502,0.334623382
BBB,Company 459,Rating agency 3,07/01/2011,Energy,-0.390745022,0.177163003,-0.082935923,-0.24271936,-1.048679431,1.261723547,0.606446607,1.722702965,0.503807086,0.053148864,0.006732011,0.170848345,0.25578286,0.099042043,-0.198323742,0.308184839,-0.495046695,0.479946142
BBB,Company 309,Rating agency 3,7/29/2011,Energy,0.408091989,0.728442919,-0.340483445,1.007676833,1.482358806,0.181488529,0.727944979,-0.388151269,-1.120793338,0.058555605,0.057112394,-0.127480642,0.263636056,-0.002373754,0.034564154,-0.063673066,0.358673836,-1.777398613
BBB,Company 467,Rating agency 3,08/02/2011,Technology,-0.115173142,0.63403939,1.253905792,-0.796617416,-0.486303767,-1.133008769,-0.022201642,-0.378424712,0.704551073,0.069259037,-0.111530084,-0.191352999,0.284208426,-0.128902987,-0.851727047,-0.72090671,-0.290201487,-0.690908606
B,Company 401,Rating agency 3,08/11/2011,Basic Industries,0.829221179,0.913680946,0.643059683,-0.265955115,-1.108077871,-0.319230356,-1.034754951,0.266023261,-0.245389071,0.052022675,-0.024986196,0.173721294,-0.913821287,-0.148708376,-0.158088623,-0.727803683,-0.503849237,0.276267581
