returnOnCapitalEmployed,operatingCashFlowPerShare,netProfitMargin,debtRatio,operatingCashFlowSalesRatio,effectiveTaxRate,currentRatio,freeCashFlowPerShare,cashRatio,fixedAssetTurnover,freeCashFlowOperatingCashFlowRatio,enterpriseValueMultiple,grossProfitMargin,debtEquityRatio,assetTurnover,payablesTurnover,daysOfSalesOutstanding,returnOnEquity,Day,Name,Month,Year,Agency_Rating agency 3,Rating,ROCE_NetProfitMargin,NetProfitMargin_OpCashFlow,CashRatio_OpCashFlow,CashRatio_NetProfitMargin,DebtRatio_ROCE,DebtRatio_OpCashFlow
-0.664574893,-0.516925405,-0.445298591,-0.185022821,0.191620986,-2.802053807,0.553105465,-0.124041374,1.239973181,-1.398030286,-0.155296568,-0.005992179,1.500351296,0.030877831,0.128968919,-1.777398613,0.102312645,-0.022201642,16,0.003487793,2,2011,TRUE,3,0.295934263,0.230186154,-0.640973639,-0.55215831,0.122961521,0.095642997
-0.580763966,-0.197659256,-0.287050423,-0.50393484,0.170126753,-0.405635859,-0.443578776,-0.115508153,0.127513809,-1.11011028,-0.271831217,0.10725432,-0.255058288,0.001832807,-0.591700691,0.329412276,0.867015647,-2.246084595,3,0.003487793,3,2011,TRUE,5,0.166708542,0.056738173,-0.025204285,-0.036602893,0.292667196,0.099607386
1.912917721,4.007242172,1.206553752,0.097303591,0.992160507,0.082553337,-1.257988317,3.698061438,0.424973656,-0.765408299,0.316289834,-0.224132544,0.927900237,0.067051576,-0.144529469,-1.065839279,0.238475533,1.147977664,15,0.003487793,3,2011,TRUE,4,2.308038054,4.834953078,1.702972356,0.512753559,0.186133764,0.389919053
1.748702073,3.716817793,0.793575909,-0.962034696,0.417601914,0.163332651,-0.378576922,2.027829548,0.391352732,-0.456978677,-0.13445819,-0.234129773,-0.321985671,-0.023303106,0.243935343,0.043537856,0.286444954,0.803045581,18,0.002989537,3,2011,TRUE,5,1.387727837,2.949577059,1.454586798,0.3105681,-1.682312067,-3.575707676
-0.342467622,0.033815651,-0.021579466,0.493129016,-0.010150003,0.081930642,-0.783914568,-0.153596083,-1.84734761,-1.131013486,-0.513125244,0.013068943,1.503065267,0.145289772,-0.581098982,0.351734165,0.35541774,-0.478113158,24,0.002989537,3,2011,TRUE,0,0.007390268,-0.000729724,-0.062469262,0.039864775,-0.168880721,0.016675479
-0.571418503,-0.545503075,-0.369962509,-0.226119258,-0.421339448,0.136183599,0.784338002,-0.110918125,0.507174276,0.213438663,0.116123762,0.036762177,-0.878400341,0.029179009,0.176631657,0.122023759,0.655503224,-2.529217056,24,0.002989537,3,2011,TRUE,4,0.211403423,0.201815686,-0.276665127,-0.187635468,0.129208728,0.123348751
0.378893308,0.518761785,2.593473942,-1.421977237,0.878949372,0.164010855,-0.426029551,-0.245560538,0.67198743,-1.155368821,-0.684346446,-0.015708494,1.529169093,-0.043837184,-0.786868448,-1.777398613,0.307658924,0.535029817,29,0.002989537,3,2011,TRUE,5,0.982649921,1.345395172,0.348601399,1.742781889,-0.538777659,-0.73766745
0.640994103,-0.040794754,0.218880873,0.309452124,-0.169659842,0.064419981,-0.588473384,-0.003995801,0.28820139,0.022134737,0.227269665,0.115039583,0.090293272,0.099649491,0.338800455,-0.515648588,0.238757623,0.779017342,30,0.002989537,3,2011,TRUE,0,0.140301349,-0.008929191,-0.011757105,0.063081772,0.198356987,-0.012624023
0.358242602,-0.002142115,0.291726621,0.410663271,0.111124242,0.062335933,-1.476699799,-0.06566446,-0.600305333,-0.696441753,-0.095078268,-0.055661,-0.347249724,0.127929164,-0.244046818,-0.410607269,0.506603615,0.427218481,4,0.003487793,4,2011,TRUE,5,0.104508904,-0.000624912,0.001285923,-0.175125046,0.147117079,-0.000879688
0.430036292,5.812122424,0.318986882,-0.221603077,0.086321977,0.134569219,-0.938527497,6.01641311,0.300291007,0.925513514,0.419812454,-0.212357575,0.860585817,0.031415649,-0.230789401,-0.164678443,0.170577015,0.090964579,7,0.000996512,4,2011,TRUE,5,0.137175936,1.85399081,1.745328096,0.095788892,-0.095297366,-1.287984213
