Rating,Name,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover
AA,Company 44,Rating agency 5,8/16/2005,Energy,-0.9825879110125854,-0.6863673292333694,-0.4130692317069867,0.18320168004400167,0.12394739071123377,0.37245058780944745,1.5292760884780192,0.33323365419248485,1.2248103641882344,3.0790443213903056,0.10216599692384085,0.9748668643776627,0.08898113168481689,0.07217052583987164,2.7554457988832017,-0.1318200687364502,0.1563095160919401,0.471467743658052,-0.11661714751747922,0.37749023017553124,-0.20561199184233858,1.2895530030110298,-0.14355541364317848,-1.7773986131260346
BB,Company 135,Rating agency 3,4/28/2009,Basic Industries,0.4924713721581931,-0.7785963039645584,0.0249144658669351,-2.446369468056936,0.1249247354519409,0.22077922462433827,-1.1868935544674013,0.1722802973367192,1.0736237639154942,1.1963281837891802,1.206518980572334,0.8623314108852939,0.08007298649118007,0.10399682394787713,0.2766449976810271,0.11195710091090824,0.6110874379242998,0.11220689236120066,0.11585876593074602,0.21502799245746765,-0.21622840715479097,0.06090682988513047,-0.5240055324094033,0.9731591785290865
CCC,Company 118,Rating agency 3,8/3/2010,Health Care,-0.25552087727189166,0.16994236312985425,-0.047429103894513894,0.32713699331227275,0.2861437611647143,-0.10620078740550142,1.516029228100963,-0.04122918407841008,1.0803623147508357,-0.4601984790447368,1.632207282814737,0.6042478278946098,-0.2129556290000544,0.24667929148417084,0.7744700351581429,-8.470516218854302,0.6142652286445259,-0.10049158515822006,0.26422457527061416,-0.1318307452328343,0.22687320470328154,-0.6224763597519579,-0.46176560887808565,-1.7773986131260346
BBB,Company 309,Rating agency 3,8/31/2010,Energy,-0.1865496246453437,-0.9684948293530422,-1.6346926011522405,-0.194735286188973,0.774031812651245,0.40840635673128317,1.471747506071967,0.370197048671956,0.5332264932032978,0.0974378848230416,0.40892861632819877,-0.432951544321924,-1.1805157851928874,0.03480898260945226,-0.14781477307430563,-0.12796091779580382,-1.1368521122122954,-0.23275959399333315,0.03942374718648122,0.406306050586905,0.1192880958608378,-0.1946122259200163,0.2017936001233738,-1.7773986131260346
BBB,Company 56,Rating agency 3,9/30/2010,Miscellaneous,-0.4677542899286587,-0.7710610891046706,-0.2055785585658329,0.44242234623502147,-0.10790354304529935,0.1237752961304579,-0.0030915890214139436,0.05333537326873342,-0.05204189029670143,0.08989182061341151,-0.022201641603082915,0.024046768615999498,0.955722852003878,-8.75353843717985,1.6110950426341268,0.1966994298631547,0.4968102246534404,0.025636791673930962,-8.667500196388323,0.11397614188004737,0.08171679920767327,-0.11375597747695508,-0.07460507739098413,-1.7010700727784012
BB,Company 96,Rating agency 3,11/3/2010,Technology,-0.30725828059948035,-0.5849170741041572,-0.1461781069637945,0.20591138528006647,-0.3400409768709658,-0.10246795008436665,-1.3314131092710049,-0.18454542741809707,-0.14698343536602593,0.08049673195257953,-0.3244211381073909,1.3180035982870297,0.7391578806028962,0.17241733015125008,0.5964234993752593,0.13265383506584763,-0.38047010848368384,-0.13624012144535466,0.19163608595540232,-0.12767789890439488,-0.10448720724655675,-0.4549160639373448,-0.527901560360855,-0.02925796333458791
BB,Company 437,Rating agency 3,11/19/2010,Basic Industries,2.044669798999629,1.989715332861379,1.657896982096442,1.4217820048331176,2.9368239496329065,1.8195674563441593,1.5292760884780192,2.061016386758305,1.9168936335058704,2.539490383536872,-0.6616462783503878,-0.46567976767102826,0.2934567310741317,-0.11422441025513841,-3.2270353725762466,-0.44974597878273315,0.8656541573799753,-0.15241816020670132,-0.1951936355105579,1.8988009499104812,-0.0053426405508540135,-0.8547840996630888,-0.787782261735132,2.410344060240269
B,Company 586,Rating agency 3,12/17/2010,Consumer Services,-0.9714464223967109,-0.11444948568181068,-1.140757797675668,1.4920712090909887,1.229139799225865,0.8407617141352218,0.41730208158672505,0.8900054402032599,0.29814787852001184,0.2797005547823738,0.019954178345140763,-1.0670569498908662,-1.1782122891553986,-0.003528703175827881,-0.9666030053739173,0.09035662362690658,0.18837460729037508,-0.1255651112316743,0.018126700653243736,0.8562153528919006,0.13557494585309646,-0.6822124448612548,0.23633211770549312,-1.2346475298197996
BBB,Company 126,Rating agency 3,12/20/2010,Basic Industries,1.543706448246817,1.2397699627189185,1.1590389484413677,0.49001365563166743,-0.4011757797699072,-0.1459026246880667,-1.188121603897839,-0.23314423605268508,-0.45956004470376766,-0.627955021058531,-3.378423020045472,0.21367721000567103,-0.27523307242843664,0.05878480368538887,0.013463385730093728,0.28978567881799494,0.23530862205425868,-0.07134253301874734,0.059909158913745805,-0.1735514427503443,0.3785483619500212,-0.355004428225505,-0.3226839457412061,0.4864331735525155
BBB,Company 198,Rating agency 3,12/22/2010,Health Care,0.7708301270323851,0.7407148009968155,0.7806088588387817,0.35035306149738166,0.7084922745769869,0.564368326655522,1.228132003409448,0.5606375415271209,0.8426925140937793,0.7904789081771086,0.13496297901093468,-0.07050795783315311,-0.021990948486241852,-0.06484833443444582,-2.220785164124278,0.10002622220053305,0.5071224435967441,6.01641310970453,-0.07304797854249574,0.5729901649584556,-0.24801496762800596,6.219973237854231,0.3932777336125259,-0.5097384614512037
A,Company 220,Rating agency 3,12/23/2010,Consumer Services,-0.5697954547158233,-0.2671132700594297,-0.019630340180166902,0.46813811661633586,0.18147357591106153,0.3067307175752545,1.4819626692833376,0.2701993141059958,0.21593548857653466,0.299083689909732,-0.35551538983378167,-0.13116678408995547,-0.2125221900612039,-0.03449019016769259,-1.3075292003283048,0.18374977287269095,0.29355214182453926,-0.04274269375357667,-0.03408652777426297,0.33711886065990493,0.034821022865969616,-0.25248801166872914,-0.09040502932316713,-1.7773986131260346
