returnOnCapitalEmployed,operatingCashFlowPerShare,netProfitMargin,debtRatio,operatingCashFlowSalesRatio,effectiveTaxRate,currentRatio,freeCashFlowPerShare,cashRatio,fixedAssetTurnover,freeCashFlowOperatingCashFlowRatio,enterpriseValueMultiple,grossProfitMargin,debtEquityRatio,assetTurnover,payablesTurnover,daysOfSalesOutstanding,returnOnEquity,Day,Name,Month,Year,Agency_Rating agency 3,Rating
1.748702073,3.716817793,0.793575909,-0.962034696,0.417601914,0.163332651,-0.378576922,2.027829548,0.391352732,-0.456978677,-0.13445819,-0.234129773,-0.321985671,-0.023303106,0.243935343,0.043537856,0.286444954,0.803045581,18.0,0.0029895366218236,3.0,2011.0,True,5.0
-0.342467622,0.033815651,-0.021579466,0.493129016,-0.010150003,0.081930642,-0.783914568,-0.153596083,-1.84734761,-1.131013486,-0.513125244,0.013068943,1.503065267,0.145289772,-0.581098982,0.351734165,0.35541774,-0.478113158,24.0,0.0029895366218236,3.0,2011.0,True,0.0
-0.571418503,-0.545503075,-0.369962509,-0.226119258,-0.421339448,0.136183599,0.784338002,-0.110918125,0.507174276,0.213438663,0.116123762,0.036762177,-0.878400341,0.029179009,0.176631657,0.122023759,0.655503224,-2.529217056,24.0,0.0029895366218236,3.0,2011.0,True,4.0
0.378893308,0.518761785,2.593473942,-1.421977237,0.878949372,0.164010855,-0.426029551,-0.245560538,0.67198743,-1.155368821,-0.684346446,-0.015708494,1.529169093,-0.043837184,-0.786868448,-1.777398613,0.307658924,0.535029817,29.0,0.0029895366218236,3.0,2011.0,True,5.0
0.640994103,-0.040794754,0.218880873,0.309452124,-0.169659842,0.064419981,-0.588473384,-0.003995801,0.28820139,0.022134737,0.227269665,0.115039583,0.090293272,0.099649491,0.338800455,-0.515648588,0.238757623,0.779017342,30.0,0.0029895366218236,3.0,2011.0,True,0.0
0.358242602,-0.002142115,0.291726621,0.410663271,0.111124242,0.062335933,-1.476699799,-0.06566446,-0.600305333,-0.696441753,-0.095078268,-0.055661,-0.347249724,0.127929164,-0.244046818,-0.410607269,0.506603615,0.427218481,4.0,0.0034877927254608,4.0,2011.0,True,5.0
0.430036292,5.812122424,0.318986882,-0.221603077,0.086321977,0.134569219,-0.938527497,6.01641311,0.300291007,0.925513514,0.419812454,-0.212357575,0.860585817,0.031415649,-0.230789401,-0.164678443,0.170577015,0.090964579,7.0,0.0009965122072745,4.0,2011.0,True,5.0
-0.448694394,-0.677578025,-0.350506125,1.581934765,-0.536032572,-0.488454578,0.630360972,-0.129644698,0.416562057,0.800648288,0.021330471,0.318760743,-1.177307581,-8.753538437,1.299071268,0.539844298,0.481237898,-0.022201642,8.0,0.0024912805181863,4.0,2011.0,True,3.0
0.079428381,0.218738379,0.708892657,-0.25583938,0.870354083,0.192805488,-1.310268456,-0.273196194,-1.771757766,-1.523784604,-0.910283209,-0.020252085,1.524932602,0.026409045,-0.974825936,-1.777398613,0.700492839,-0.253823934,8.0,0.0034877927254608,4.0,2011.0,True,3.0
-0.203067126,-0.027801872,5.191175032,-0.358668836,8.266179045,0.172852269,-0.211375297,-0.285018219,-3.525667866,-3.439338404,-1.213108253,-0.005745667,1.518990654,0.014854877,-5.207600338,-1.777398613,3.050910185,-0.735597096,11.0,0.0029895366218236,4.0,2011.0,True,5.0
0.310783232,0.197022015,-0.199866516,0.127842575,-0.339092893,0.174360114,0.09974867,0.082201138,-1.161544528,-0.084535872,0.324254426,0.019896479,-0.566328647,0.072030881,0.929372994,0.323656857,-2.446369468,0.121341003,27.0,0.0029895366218236,4.0,2011.0,True,0.0
0.914031625,-2.463162021,-0.123314652,-0.577808604,-0.822685368,0.06326383,0.048935795,-1.889342359,-1.07912891,0.696601204,1.013698133,-0.134189841,-1.390263102,-0.001762189,1.126390547,0.839519227,-0.14641645,0.297664587,27.0,0.0034877927254608,4.0,2011.0,True,4.0
-0.074549598,0.224554063,-0.095675208,0.361510668,-0.003573356,0.160319599,-1.288481766,0.001760915,0.022047044,-1.048580381,0.021366485,-0.04409803,-0.850899869,0.119618999,-0.333960856,0.526209164,0.031195145,-0.536362675,27.0,0.0029895366218236,4.0,2011.0,True,5.0
-0.132890895,0.242134894,0.445821841,0.31752273,0.285007774,0.377954017,-0.573519202,0.013605573,0.520459024,-1.238467413,0.036644622,-0.114734954,1.504338107,0.103844925,-0.539840956,-1.777398613,0.131030004,0.219953725,28.0,0.0034877927254608,4.0,2011.0,True,5.0
0.076694463,0.201909604,0.381446127,0.500005837,0.22301051,0.200209083,-0.038217439,-0.0193823,0.307958794,-1.025976625,-0.043844477,-0.08468476,1.520492233,0.158533263,-0.603192439,-1.777398613,0.208438773,0.281840982,28.0,0.0034877927254608,4.0,2011.0,True,5.0
-0.369876687,-0.473919808,-0.632319422,-0.701403139,-0.22663506,0.220399427,-0.502109979,-0.06397517,0.654651539,0.623260964,0.617964215,0.087375934,0.535777552,-0.00774084,-0.240140136,-0.205034164,0.377220702,-0.022201642,6.0,0.0034877927254608,5.0,2011.0,True,3.0
-0.20608627,-0.471067995,-0.303934788,0.244282219,-0.600634319,-0.133549845,-0.711928041,-0.204193042,-2.483644448,0.174048846,-1.45165995,0.064838988,-1.436703058,0.095751466,1.204094551,0.584043857,0.224444237,-0.24224629,16.0,0.0034877927254608,5.0,2011.0,True,5.0
-0.737013313,-0.570552725,-1.050097156,0.758465472,3.346231029,0.510075698,3.16954016,-0.088161759,1.970232554,-0.504252611,0.61097675,1.214512857,-1.166041962,0.241255174,-3.863283135,-1.333870953,1.821693204,-0.022201642,24.0,0.0004982561036372,5.0,2011.0,True,8.0
0.493449666,-0.189666318,0.464945482,-0.579597498,0.181217889,0.157166899,0.308079987,0.01565625,0.676737609,0.653886558,0.571669946,0.032791628,0.589486764,0.006208953,-0.375707937,-0.619280537,1.008018059,0.025364124,26.0,0.001993024414549,5.0,2011.0,True,4.0
-0.215311643,-0.154620268,-0.161170048,-0.032949789,-0.149874992,0.128358411,0.625968915,0.016598969,1.144528375,0.4756814,0.51340454,0.185871751,-0.932349123,0.047360907,0.157624766,1.719044882,-2.446369468,-0.57540312,31.0,0.0029895366218236,5.0,2011.0,True,0.0
0.154422321,0.16785237,-0.102815976,-0.44400419,-0.235880029,0.094779911,0.07046785,0.131632984,0.027096232,0.445451629,0.509727815,0.066991941,-0.907179865,0.011714139,0.523630454,0.562372612,0.513315975,-0.151931955,31.0,0.0034877927254608,5.0,2011.0,True,0.0
0.250004236,0.051807583,0.577257779,1.565617048,1.102906606,-0.052123157,-1.442577244,0.019141235,-0.560332052,-2.027660102,0.233999088,-0.108341624,1.486941655,0.20753909,-0.251483201,-1.777398613,-2.446369468,0.713905804,1.0,0.0034877927254608,6.0,2011.0,True,3.0
0.068731017,-0.305249567,-0.091251833,-0.460061511,-0.282413778,0.088323002,-0.169132781,-0.036978398,0.452830794,0.313691278,0.439759085,-0.018953361,-0.701774415,0.008702814,0.300887191,0.981880755,0.484773956,-0.336515694,1.0,0.0024912805181863,6.0,2011.0,True,4.0
0.216507521,-0.500612578,-0.168368663,-0.240716177,-0.155493907,0.034163684,-0.010225563,-0.077556169,0.692113692,1.308574781,0.510008582,0.157276796,-0.621665373,0.040442696,0.598674144,0.033933184,0.582929641,-0.130734223,9.0,0.001993024414549,6.0,2011.0,True,5.0
-0.395055172,0.39690131,0.163303429,0.58513937,0.218794632,0.100204392,-0.577478619,-0.292268452,0.247933523,-1.297446807,-0.84222736,-0.060112533,1.484573333,0.171356619,-0.907087509,-1.142777575,-0.030137343,-0.32279198,21.0,0.0034877927254608,6.0,2011.0,True,5.0
-0.370124939,-0.057067269,0.033289174,-0.467465948,-0.384742048,1.353768576,0.390765172,-0.006089416,0.165496085,0.507655395,0.256585102,0.086708162,-0.824846641,0.005784442,0.765270966,0.394852319,0.443836035,0.475284613,21.0,0.0029895366218236,6.0,2011.0,True,5.0
-0.987950403,-0.127399844,-1.00497899,0.405060911,0.206965984,-0.102943113,-0.79079049,-0.152239943,0.152205943,-1.199516536,-0.523096506,0.172401858,1.51882573,0.119143088,-0.520776302,-1.777398613,0.099763779,-0.022201642,24.0,0.0024912805181863,6.0,2011.0,True,4.0
0.709062476,5.906217756,0.343415902,-0.816390349,-0.003939604,-0.035121541,1.39090227,6.01641311,1.409364517,0.010690362,0.347779053,-0.275023627,-0.646291374,-0.01582646,0.417392994,0.79528519,0.317517104,0.547808035,28.0,0.0029895366218236,6.0,2011.0,True,4.0
1.569944594,0.678638227,0.450154314,0.784856405,-0.021946502,0.080128144,-0.463638131,0.317502747,0.036481639,0.57485658,0.409053326,0.039225107,-0.143038376,0.254643942,0.359609345,0.334623382,0.239642989,1.644374648,30.0,0.0029895366218236,6.0,2011.0,True,0.0
1.261723547,0.308184839,-0.24271936,0.006732011,-0.495046695,0.170848345,-0.390745022,0.099042043,0.177163003,0.503807086,0.25578286,-0.198323742,-1.048679431,0.053148864,1.722702965,0.479946142,-0.082935923,0.606446607,1.0,0.0014947683109118,7.0,2011.0,True,5.0
0.181488529,-0.063673066,1.007676833,0.057112394,0.358673836,-0.127480642,0.408091989,-0.002373754,0.728442919,-1.120793338,0.263636056,0.034564154,1.482358806,0.058555605,-0.388151269,-1.777398613,-0.340483445,0.727944979,29.0,0.0034877927254608,7.0,2011.0,True,5.0
-1.133008769,-0.72090671,-0.796617416,-0.111530084,-0.290201487,-0.191352999,-0.115173142,-0.128902987,0.63403939,0.704551073,0.284208426,-0.851727047,-0.486303767,0.069259037,-0.378424712,-0.690908606,1.253905792,-0.022201642,2.0,0.001993024414549,8.0,2011.0,True,5.0
-0.319230356,-0.727803683,-0.265955115,-0.024986196,-0.503849237,0.173721294,0.829221179,-0.148708376,0.913680946,-0.245389071,-0.913821287,-0.158088623,-1.108077871,0.052022675,0.266023261,0.276267581,0.643059683,-1.034754951,11.0,0.0024912805181863,8.0,2011.0,True,3.0
-0.455774293,-0.403091132,-0.263729417,0.51377621,-0.404151804,0.133396657,-0.228202621,-0.073385693,0.140607404,0.233177568,0.293266527,0.119663998,-0.66799923,0.160449164,-0.253096685,0.279558204,0.815110519,-1.162471103,12.0,0.0024912805181863,8.0,2011.0,True,4.0
-0.319801682,-0.157888281,2.049397865,-1.097400827,1.10952676,-0.131820069,-2.383726464,-0.013864807,-1.116753893,0.151678056,0.338571275,0.409249271,1.237258848,-0.029646221,-1.880826909,-1.259732605,-1.028794909,-0.674063513,15.0,0.001993024414549,8.0,2011.0,True,4.0
